# Edition-2023 Komponente->Baustein-Hinttabelle (plugin-eigen, MIT — NICHT der BSI-Korpus).
# Heuristische Modellierungshilfe: ordnet jedem Edition-2023-Baustein generische Asset-Typen zu,
# damit 'gs --edition edition-2023 coverage' aus einer Asset-Liste die zutreffenden Bausteine ableitet.
# Edition 2023 modelliert über Bausteine (nicht über Zielobjektkategorien wie Grundschutz++); der
# BSI-Kreuzbezug ist im Kompendium-XML nicht maschinenlesbar enthalten — diese Zuordnung ist daher eine
# begründete Heuristik und KEIN offizielles BSI-Mapping. baustein_id/titel sind Faktenverweise auf den
# Katalog; die Komponenten-Zuordnung ist die plugin-eigene (MIT) Leistung.
#
# Format:  baustein_id,titel,komponenten,bindung
#   komponenten : ein oder mehrere Asset-Typen, ';'-getrennt
#   bindung     : komponentengebunden (trifft nur bei vorhandenem Asset zu)
#               | übergreifend        (prozessual/organisatorisch, trifft praktisch immer zu = querschnittlich)
# Bei bindung=übergreifend ist komponenten stets "übergreifend" (das Pendant zu STM.5.4 in Grundschutz++).
baustein_id,titel,komponenten,bindung
SYS.1.2.2,Windows Server 2012,Server,komponentengebunden
SYS.1.2.3,Windows Server,Server,komponentengebunden
SYS.1.3,Server unter Linux und Unix,Server,komponentengebunden
SYS.1.5,Virtualisierung,Virtualisierung;Server,komponentengebunden
SYS.1.6,Containerisierung,Container,komponentengebunden
SYS.1.7,IBM Z,Server,komponentengebunden
SYS.1.8,Speicherlösungen,Speicher/Datenträger;Server,komponentengebunden
SYS.1.9,Terminalserver,Server;Virtualisierung,komponentengebunden
SYS.2.1,Allgemeiner Client,Client,komponentengebunden
SYS.2.2.3,Clients unter Windows,Client,komponentengebunden
SYS.2.3,Clients unter Linux und Unix,Client,komponentengebunden
SYS.2.4,Clients unter macOS,Client,komponentengebunden
SYS.2.5,Client-Virtualisierung,Virtualisierung;Client,komponentengebunden
SYS.2.6,Virtual Desktop Infrastructure,Virtualisierung;Client,komponentengebunden
SYS.3.1,Laptops,Client;Mobilgerät,komponentengebunden
SYS.3.2.1,Allgemeine Smartphones und Tablets,Mobilgerät,komponentengebunden
SYS.3.2.2,Mobile Device Management (MDM),Mobilgerät,komponentengebunden
SYS.3.2.3,iOS (for Enterprise),Mobilgerät,komponentengebunden
SYS.3.2.4,Android,Mobilgerät,komponentengebunden
SYS.3.3,Mobiltelefon,Mobilgerät,komponentengebunden
SYS.4.1,"Drucker, Kopierer und Multifunktionsgeräte",Drucker/MFP,komponentengebunden
SYS.4.3,Eingebettete Systeme,Eingebettetes System;IoT-Gerät,komponentengebunden
SYS.4.4,Allgemeines IoT-Gerät,IoT-Gerät,komponentengebunden
SYS.4.5,Wechseldatenträger,Speicher/Datenträger,komponentengebunden
IND.1,Prozessleit- und Automatisierungstechnik,ICS/OT,komponentengebunden
IND.2.1,Allgemeine ICS-Komponente,ICS/OT,komponentengebunden
IND.2.2,Speicherprogrammierbare Steuerung (SPS),ICS/OT,komponentengebunden
IND.2.3,Sensoren und Aktoren,ICS/OT;IoT-Gerät,komponentengebunden
IND.2.4,Maschine,ICS/OT,komponentengebunden
IND.2.7,Safety Instrumented Systems,ICS/OT,komponentengebunden
IND.3.2,Fernwartung im industriellen Umfeld,ICS/OT;Netz,komponentengebunden
NET.1.1,Netzarchitektur und -design,Netz,komponentengebunden
NET.1.2,Netzmanagement,Netz;Netzkoppelelement,komponentengebunden
NET.2.1,WLAN-Betrieb,WLAN,komponentengebunden
NET.2.2,WLAN-Nutzung,WLAN,komponentengebunden
NET.3.1,Router und Switches,Netzkoppelelement,komponentengebunden
NET.3.2,Firewall,Netzkoppelelement,komponentengebunden
NET.3.3,VPN,Netz;Netzkoppelelement,komponentengebunden
NET.3.4,Network Access Control,Netz;Netzkoppelelement,komponentengebunden
NET.4.1,TK-Anlagen,TK/Telefonie,komponentengebunden
NET.4.2,VoIP,TK/Telefonie;Netz,komponentengebunden
NET.4.3,Faxgeräte und Faxserver,TK/Telefonie;Server,komponentengebunden
INF.1,Allgemeines Gebäude,Gebäude/Raum,komponentengebunden
INF.2,Rechenzentrum sowie Serverraum,Gebäude/Raum,komponentengebunden
INF.5,Raum sowie Schrank für technische Infrastruktur,Gebäude/Raum,komponentengebunden
INF.6,Datenträgerarchiv,Gebäude/Raum;Speicher/Datenträger,komponentengebunden
INF.7,Büroarbeitsplatz,Gebäude/Raum,komponentengebunden
INF.8,Häuslicher Arbeitsplatz,Gebäude/Raum,komponentengebunden
INF.9,Mobiler Arbeitsplatz,Gebäude/Raum,komponentengebunden
INF.10,"Besprechungs-, Veranstaltungs- und Schulungsräume",Gebäude/Raum,komponentengebunden
INF.11,Allgemeines Fahrzeug,Fahrzeug,komponentengebunden
INF.12,Verkabelung,Gebäude/Raum;Netz,komponentengebunden
INF.13,Technisches Gebäudemanagement,Gebäude/Raum;ICS/OT,komponentengebunden
INF.14,Gebäudeautomation,Gebäude/Raum;ICS/OT,komponentengebunden
APP.1.1,Office-Produkte,Client,komponentengebunden
APP.1.2,Webbrowser,Client,komponentengebunden
APP.1.4,Mobile Anwendungen (Apps),Mobilgerät,komponentengebunden
APP.2.1,Allgemeiner Verzeichnisdienst,Verzeichnisdienst,komponentengebunden
APP.2.2,Active Directory Domain Services,Verzeichnisdienst,komponentengebunden
APP.2.3,OpenLDAP,Verzeichnisdienst,komponentengebunden
APP.3.1,Webanwendungen und Webservices,Webanwendung,komponentengebunden
APP.3.2,Webserver,Webanwendung;Server,komponentengebunden
APP.3.3,Fileserver,Server;Speicher/Datenträger,komponentengebunden
APP.3.4,Samba,Server;Speicher/Datenträger,komponentengebunden
APP.3.6,DNS-Server,Server;Netz,komponentengebunden
APP.4.2,SAP-ERP-System,Fachanwendung,komponentengebunden
APP.4.3,Relationale Datenbanken,Datenbank,komponentengebunden
APP.4.4,Kubernetes,Container,komponentengebunden
APP.4.6,SAP ABAP-Programmierung,Fachanwendung,komponentengebunden
APP.5.2,Microsoft Exchange und Outlook,E-Mail/Groupware,komponentengebunden
APP.5.3,Allgemeiner E-Mail-Client und -Server,E-Mail/Groupware,komponentengebunden
APP.5.4,Unified Communications und Collaboration (UCC),E-Mail/Groupware,komponentengebunden
APP.6,Allgemeine Software,Fachanwendung;Client,komponentengebunden
APP.7,Entwicklung von Individualsoftware,Fachanwendung,komponentengebunden
OPS.1.1.1,Allgemeiner IT-Betrieb,übergreifend,übergreifend
OPS.1.1.2,Ordnungsgemäße IT-Administration,übergreifend,übergreifend
OPS.1.1.3,Patch- und Änderungsmanagement,übergreifend,übergreifend
OPS.1.1.4,Schutz vor Schadprogrammen,übergreifend,übergreifend
OPS.1.1.5,Protokollierung,übergreifend,übergreifend
OPS.1.1.6,Software-Tests und -Freigaben,übergreifend,übergreifend
OPS.1.1.7,Systemmanagement,übergreifend,übergreifend
OPS.1.2.2,Archivierung,Speicher/Datenträger,komponentengebunden
OPS.1.2.4,Telearbeit,übergreifend,übergreifend
OPS.1.2.5,Fernwartung,übergreifend,übergreifend
OPS.1.2.6,NTP-Zeitsynchronisation,Server;Netz,komponentengebunden
OPS.2.2,Cloud-Nutzung,Cloud-Nutzung,komponentengebunden
OPS.2.3,Nutzung von Outsourcing,Dienstleister/Outsourcing,komponentengebunden
OPS.3.2,Anbieten von Outsourcing,Dienstleister/Outsourcing,komponentengebunden
DER.1,Detektion von sicherheitsrelevanten Ereignissen,übergreifend,übergreifend
DER.2.1,Behandlung von Sicherheitsvorfällen,übergreifend,übergreifend
DER.2.2,Vorsorge für die IT-Forensik,übergreifend,übergreifend
DER.2.3,Bereinigung weitreichender Sicherheitsvorfälle,übergreifend,übergreifend
DER.3.1,Audits und Revisionen,übergreifend,übergreifend
DER.3.2,Revisionen auf Basis des Leitfadens IS-Revision,übergreifend,übergreifend
DER.4,Notfallmanagement,übergreifend,übergreifend
