# Messreihe Lazy Skills 2026-09-18 (Bericht docs/messung-lazy-skills-2026-09-18.md). CSV, UTF-8, Komma, Textfelder mit Komma in doppelten Anführungszeichen. Spalten: cli=claude|codex; zustand=vorher (main f22c0dc)|nachher (HEAD 71871af)|differenz (nachher − vorher); messung=context (Claude /context)|baseline (Claude-Persona mit Auftrag OK)|prompt-input (Codex-Startprompt)|dynamisch (Claude-Arbeitsauftrag)|dynamisch-implizit|dynamisch-explizit (Codex-Arbeitsauftrag ohne/mit $-Command); persona=bertram|christian|bruce (Plugin it-grundschutz)|nixie, sonst Plugin (bibliothekarin, tools), builtin oder gesamt; metrik=Name laut Abschnitt Metriken im Bericht; wert=Zahl mit Punkt als Dezimaltrenner ohne Tausendertrenner oder n/a; einheit=tokens|zeichen|bytes|requests|anzahl|dateien|usd|s|bool; anmerkung=Quelle, Zusammensetzung, Einschränkung. Dynamische Werte sind Einzelläufe (n=1) ohne Streuung.
cli,zustand,messung,persona,metrik,wert,einheit,anmerkung
claude,differenz,context,nixie,skills_plugin,-550,tokens,Summe der ~-Schätzwerte
claude,vorher,context,bruce,skills_plugin,1610,tokens,Summe der ~-Schätzwerte
claude,nachher,context,bruce,skills_plugin,0,tokens,Summe der ~-Schätzwerte
claude,differenz,context,bruce,skills_plugin,-1610,tokens,Summe der ~-Schätzwerte
claude,vorher,context,bertram,skills_plugin,850,tokens,Summe der ~-Schätzwerte
claude,nachher,context,bertram,skills_plugin,0,tokens,Summe der ~-Schätzwerte
claude,differenz,context,bertram,skills_plugin,-850,tokens,Summe der ~-Schätzwerte
claude,vorher,context,christian,skills_plugin,1560,tokens,Summe der ~-Schätzwerte
claude,nachher,context,christian,skills_plugin,0,tokens,Summe der ~-Schätzwerte
claude,differenz,context,christian,skills_plugin,-1560,tokens,Summe der ~-Schätzwerte
claude,vorher,context,tools,skills_plugin,0,tokens,Summe der ~-Schätzwerte; tools-Skills in keinem Zustand gelistet (disable-model-invocation)
claude,nachher,context,tools,skills_plugin,0,tokens,Summe der ~-Schätzwerte; tools-Skills in keinem Zustand gelistet (disable-model-invocation)
claude,differenz,context,tools,skills_plugin,0,tokens,Summe der ~-Schätzwerte; tools-Skills in keinem Zustand gelistet (disable-model-invocation)
claude,vorher,context,builtin,skills_plugin,2050,tokens,Summe der ~-Schätzwerte
claude,nachher,context,builtin,skills_plugin,2050,tokens,Summe der ~-Schätzwerte
claude,differenz,context,builtin,skills_plugin,0,tokens,Summe der ~-Schätzwerte
claude,vorher,context,gesamt,skills_plugins_gesamt,5640,tokens,Summe der ~-Schätzwerte aller Plugin-Skills
claude,nachher,context,gesamt,skills_plugins_gesamt,1070,tokens,Summe der ~-Schätzwerte aller Plugin-Skills
claude,differenz,context,gesamt,skills_plugins_gesamt,-4570,tokens,Summe der ~-Schätzwerte aller Plugin-Skills
claude,vorher,baseline,bertram,main_first,43771,tokens,"--model sonnet, ohne Proxy, usage der ersten Haupt-Antwort in stream-json (sc-np-before-bertram-sonnet)"
claude,vorher,baseline,bertram,main_first_proxy,35479,tokens,--model sonnet über Proxy (sc-b-before-bertram-1); verzerrt: Plugin-Skills im Listing nur als Namen
claude,vorher,baseline,bertram,sub_first,22553,tokens,"Persona claude-opus-5, Proxy (sc-b-before-bertram-1); ohne Proxy sichtbarer Sub-Request weicht ≤1 ab"
claude,vorher,baseline,bertram,sub_n,3,requests,Proxy (sc-b-before-bertram-1)
claude,vorher,baseline,bertram,sub_sum,68839,tokens,Proxy (sc-b-before-bertram-1)
claude,vorher,baseline,bertram,sub_peak,23682,tokens,Proxy (sc-b-before-bertram-1)
claude,vorher,baseline,bertram,output_sum,513,tokens,"Haupt- + Subagent-Requests, Proxy (sc-b-before-bertram-1); ohne Titel/Klassifikator"
claude,vorher,baseline,bertram,files_read,0,dateien,"keine Read-Aufrufe, einziges Tool der Persona: SubagentHandback"
claude,vorher,baseline,bertram,cost_usd,0.234,usd,"total_cost_usd, ein result-Event, Lauf ohne Proxy (sc-np-before-bertram-sonnet); inkl. Titel- und Auto-Mode-Klassifikator-Requests"
claude,vorher,baseline,bertram,duration_s,10.3,s,"result.duration_ms, Lauf ohne Proxy (sc-np-before-bertram-sonnet)"
claude,vorher,baseline,bertram,main_first_default,31837,tokens,"Hauptsitzung Default claude-opus-5[1m], Proxy (sc-b-before-bertram-opusdef-1)"
claude,vorher,baseline,bertram,main_first_default_ohne_proxy,32046,tokens,"Default-Modell ohne Proxy (sc-np-before-bertram-default), stream-json"
claude,vorher,baseline,bertram,sub_first_default,22437,tokens,"Hauptsitzung Default claude-opus-5[1m], Proxy (sc-b-before-bertram-opusdef-1)"
claude,nachher,baseline,bertram,main_first,35412,tokens,"--model sonnet, ohne Proxy, usage der ersten Haupt-Antwort in stream-json (sc-np-after-bertram-sonnet)"
claude,nachher,baseline,bertram,main_first_proxy,34030,tokens,--model sonnet über Proxy (sc-b-after-bertram-1); verzerrt: Plugin-Skills im Listing nur als Namen
claude,nachher,baseline,bertram,sub_first,12123,tokens,"Persona claude-opus-5, Proxy (sc-b-after-bertram-1); ohne Proxy sichtbarer Sub-Request weicht ≤1 ab"
claude,nachher,baseline,bertram,sub_n,2,requests,Proxy (sc-b-after-bertram-1)
claude,nachher,baseline,bertram,sub_sum,25071,tokens,Proxy (sc-b-after-bertram-1)
claude,nachher,baseline,bertram,sub_peak,12948,tokens,Proxy (sc-b-after-bertram-1)
claude,nachher,baseline,bertram,output_sum,204,tokens,"Haupt- + Subagent-Requests, Proxy (sc-b-after-bertram-1); ohne Titel/Klassifikator"
claude,nachher,baseline,bertram,files_read,0,dateien,"keine Read-Aufrufe, einziges Tool der Persona: SubagentHandback"
claude,nachher,baseline,bertram,cost_usd,0.1048,usd,"total_cost_usd, ein result-Event, Lauf ohne Proxy (sc-np-after-bertram-sonnet); inkl. Titel- und Auto-Mode-Klassifikator-Requests"
claude,nachher,baseline,bertram,duration_s,9.9,s,"result.duration_ms, Lauf ohne Proxy (sc-np-after-bertram-sonnet)"
claude,nachher,baseline,bertram,main_first_default,23478,tokens,"Hauptsitzung Default claude-opus-5[1m], Proxy (sc-b-after-bertram-opusdef-1)"
claude,nachher,baseline,bertram,main_first_default_ohne_proxy,23688,tokens,"Default-Modell ohne Proxy (sc-np-after-bertram-default), stream-json"
claude,nachher,baseline,bertram,sub_first_default,12008,tokens,"Hauptsitzung Default claude-opus-5[1m], Proxy (sc-b-after-bertram-opusdef-1)"
claude,differenz,baseline,bertram,main_first,-8359,tokens,nachher − vorher (-19.1 %)
claude,differenz,baseline,bertram,main_first_proxy,-1449,tokens,nachher − vorher (-4.1 %)
claude,differenz,baseline,bertram,sub_first,-10430,tokens,nachher − vorher (-46.2 %)
claude,differenz,baseline,bertram,sub_sum,-43768,tokens,nachher − vorher (-63.6 %)
claude,differenz,baseline,bertram,main_first_default,-8359,tokens,nachher − vorher (-26.3 %)
claude,differenz,baseline,bertram,sub_first_default,-10429,tokens,nachher − vorher (-46.5 %)
claude,differenz,baseline,bertram,main_first_default_ohne_proxy,-8358,tokens,nachher − vorher (-26.1 %)
claude,vorher,baseline,christian,main_first,43768,tokens,"--model sonnet, ohne Proxy, usage der ersten Haupt-Antwort in stream-json (sc-np-before-christian-sonnet)"
claude,vorher,baseline,christian,main_first_proxy,35477,tokens,--model sonnet über Proxy (sc-b-before-christian-1); verzerrt: Plugin-Skills im Listing nur als Namen
claude,vorher,baseline,christian,sub_first,43705,tokens,"Persona claude-opus-5, Proxy (sc-b-before-christian-1); ohne Proxy sichtbarer Sub-Request weicht ≤1 ab"
claude,vorher,baseline,christian,sub_n,3,requests,Proxy (sc-b-before-christian-1)
claude,vorher,baseline,christian,sub_sum,132257,tokens,Proxy (sc-b-before-christian-1)
claude,vorher,baseline,christian,sub_peak,44796,tokens,Proxy (sc-b-before-christian-1)
claude,vorher,baseline,christian,output_sum,423,tokens,"Haupt- + Subagent-Requests, Proxy (sc-b-before-christian-1); ohne Titel/Klassifikator"
claude,vorher,baseline,christian,files_read,0,dateien,"keine Read-Aufrufe, einziges Tool der Persona: SubagentHandback"
claude,vorher,baseline,christian,cost_usd,0.4156,usd,"total_cost_usd, ein result-Event, Lauf ohne Proxy (sc-np-before-christian-sonnet); inkl. Titel- und Auto-Mode-Klassifikator-Requests"
claude,vorher,baseline,christian,duration_s,13.4,s,"result.duration_ms, Lauf ohne Proxy (sc-np-before-christian-sonnet)"
claude,vorher,baseline,christian,main_first_default,31834,tokens,"Hauptsitzung Default claude-opus-5[1m], Proxy (sc-b-before-christian-opusdef-1)"
claude,vorher,baseline,christian,sub_first_default,43588,tokens,"Hauptsitzung Default claude-opus-5[1m], Proxy (sc-b-before-christian-opusdef-1)"
claude,nachher,baseline,christian,main_first,35410,tokens,"--model sonnet, ohne Proxy, usage der ersten Haupt-Antwort in stream-json (sc-np-after-christian-sonnet)"
claude,nachher,baseline,christian,main_first_proxy,34029,tokens,--model sonnet über Proxy (sc-b-after-christian-1); verzerrt: Plugin-Skills im Listing nur als Namen
claude,nachher,baseline,christian,sub_first,14176,tokens,"Persona claude-opus-5, Proxy (sc-b-after-christian-1); ohne Proxy sichtbarer Sub-Request weicht ≤1 ab"
claude,nachher,baseline,christian,sub_n,2,requests,Proxy (sc-b-after-christian-1)
claude,nachher,baseline,christian,sub_sum,29177,tokens,Proxy (sc-b-after-christian-1)
claude,nachher,baseline,christian,sub_peak,15001,tokens,Proxy (sc-b-after-christian-1)
claude,nachher,baseline,christian,output_sum,255,tokens,"Haupt- + Subagent-Requests, Proxy (sc-b-after-christian-1); ohne Titel/Klassifikator"
claude,nachher,baseline,christian,files_read,0,dateien,"keine Read-Aufrufe, einziges Tool der Persona: SubagentHandback"
claude,nachher,baseline,christian,cost_usd,0.1468,usd,"total_cost_usd, ein result-Event, Lauf ohne Proxy (sc-np-after-christian-sonnet); inkl. Titel- und Auto-Mode-Klassifikator-Requests"
claude,nachher,baseline,christian,duration_s,8.3,s,"result.duration_ms, Lauf ohne Proxy (sc-np-after-christian-sonnet)"
claude,nachher,baseline,christian,main_first_default,23477,tokens,"Hauptsitzung Default claude-opus-5[1m], Proxy (sc-b-after-christian-opusdef-1)"
claude,nachher,baseline,christian,sub_first_default,14061,tokens,"Hauptsitzung Default claude-opus-5[1m], Proxy (sc-b-after-christian-opusdef-1)"
claude,differenz,baseline,christian,main_first,-8358,tokens,nachher − vorher (-19.1 %)
claude,differenz,baseline,christian,main_first_proxy,-1448,tokens,nachher − vorher (-4.1 %)
claude,differenz,baseline,christian,sub_first,-29529,tokens,nachher − vorher (-67.6 %)
claude,differenz,baseline,christian,sub_sum,-103080,tokens,nachher − vorher (-77.9 %)
claude,differenz,baseline,christian,main_first_default,-8357,tokens,nachher − vorher (-26.3 %)
claude,differenz,baseline,christian,sub_first_default,-29527,tokens,nachher − vorher (-67.7 %)
claude,vorher,baseline,bruce,main_first,43775,tokens,"--model sonnet, ohne Proxy, usage der ersten Haupt-Antwort in stream-json (sc-np-before-it-grundschutz-sonnet)"
claude,vorher,baseline,bruce,main_first_proxy,35484,tokens,--model sonnet über Proxy (sc-b-before-it-grundschutz-1); verzerrt: Plugin-Skills im Listing nur als Namen
claude,vorher,baseline,bruce,sub_first,35138,tokens,"Persona claude-opus-5, Proxy (sc-b-before-it-grundschutz-1); ohne Proxy sichtbarer Sub-Request weicht ≤1 ab"
claude,vorher,baseline,bruce,sub_n,3,requests,Proxy (sc-b-before-it-grundschutz-1)
claude,vorher,baseline,bruce,sub_sum,106791,tokens,Proxy (sc-b-before-it-grundschutz-1)
claude,vorher,baseline,bruce,sub_peak,36464,tokens,Proxy (sc-b-before-it-grundschutz-1)
claude,vorher,baseline,bruce,output_sum,719,tokens,"Haupt- + Subagent-Requests, Proxy (sc-b-before-it-grundschutz-1); ohne Titel/Klassifikator"
claude,vorher,baseline,bruce,files_read,0,dateien,"keine Read-Aufrufe, einziges Tool der Persona: SubagentHandback"
claude,vorher,baseline,bruce,cost_usd,0.3615,usd,"total_cost_usd, ein result-Event, Lauf ohne Proxy (sc-np-before-it-grundschutz-sonnet); inkl. Titel- und Auto-Mode-Klassifikator-Requests"
claude,vorher,baseline,bruce,duration_s,24.0,s,"result.duration_ms, Lauf ohne Proxy (sc-np-before-it-grundschutz-sonnet)"
claude,vorher,baseline,bruce,main_first_default,31841,tokens,"Hauptsitzung Default claude-opus-5[1m], Proxy (sc-b-before-it-grundschutz-opusdef-1)"
claude,vorher,baseline,bruce,sub_first_default,35021,tokens,"Hauptsitzung Default claude-opus-5[1m], Proxy (sc-b-before-it-grundschutz-opusdef-1)"
claude,nachher,baseline,bruce,main_first,35416,tokens,"--model sonnet, ohne Proxy, usage der ersten Haupt-Antwort in stream-json (sc-np-after-it-grundschutz-sonnet)"
claude,nachher,baseline,bruce,main_first_proxy,34035,tokens,--model sonnet über Proxy (sc-b-after-it-grundschutz-1); verzerrt: Plugin-Skills im Listing nur als Namen
claude,nachher,baseline,bruce,sub_first,13044,tokens,"Persona claude-opus-5, Proxy (sc-b-after-it-grundschutz-1); ohne Proxy sichtbarer Sub-Request weicht ≤1 ab"
claude,nachher,baseline,bruce,sub_n,2,requests,Proxy (sc-b-after-it-grundschutz-1)
claude,nachher,baseline,bruce,sub_sum,26913,tokens,Proxy (sc-b-after-it-grundschutz-1)
claude,nachher,baseline,bruce,sub_peak,13869,tokens,Proxy (sc-b-after-it-grundschutz-1)
claude,nachher,baseline,bruce,output_sum,208,tokens,"Haupt- + Subagent-Requests, Proxy (sc-b-after-it-grundschutz-1); ohne Titel/Klassifikator"
claude,nachher,baseline,bruce,files_read,0,dateien,"keine Read-Aufrufe, einziges Tool der Persona: SubagentHandback"
claude,nachher,baseline,bruce,cost_usd,0.1386,usd,"total_cost_usd, ein result-Event, Lauf ohne Proxy (sc-np-after-it-grundschutz-sonnet); inkl. Titel- und Auto-Mode-Klassifikator-Requests"
